alfalfa,0.6,0.63,0.68,0.73,0.79,0.85,0.92,0.99,1.045,1.09,1.12,1.135,1.13,1.115,1.09,1.065,1.03,0.99,0.95,0.905,0.85,0.79,0.72,0.64,0.6
pasturegr,0.48,0.47,0.525,0.575,0.64,0.74,0.815,0.855,0.88,0.9,0.915,0.92,0.925,0.925,0.915,0.905,0.89,0.87,0.84,0.795,0.735,0.67,0.605,0.55,0.48
orchardcov,0.15,0.17,0.19,0.24,0.3,0.38,0.5,0.6,0.75,0.87,0.94,0.96,0.97,0.96,0.92,0.83,0.7,0.56,0.395,0.29,0.22,0.18,0.16,0.155,0.15
orchardnocov,0.61,0.63,0.68,0.74,0.8,0.86,0.93,0.99,1.04,1.09,1.125,1.135,1.13,1.115,1.095,1.065,1.03,0.99,0.945,0.9,0.84,0.78,0.715,0.645,0.61
citrus,0.62,0.63,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.69,0.68,0.67,0.67,0.65,0.64
grapes,0.19,0.2,0.21,0.23,0.26,0.31,0.4,0.49,0.64,0.7,0.78,0.81,0.81,0.8,0.79,0.76,0.76,0.66,0.59,0.49,0.41,0.34,0.28,0.23,0.19
beansdry,0.3,0.33,0.38,0.48,0.6,0.72,0.83,0.95,1.02,1.08,1.08,1.04,1,0.94,0.78,0.82,0.76,0.7,0.64,0.6,0.56,,,,
grainspr,0.28,0.35,0.46,0.58,0.71,0.83,0.94,1.04,1.15,1.25,1.31,1.31,1.27,1.18,1.04,0.87,0.69,0.5,0.3,0.13,0,,,,
cornslg,0.44,0.45,0.47,0.5,0.54,0.59,0.65,0.71,0.8,0.9,0.98,1.03,1.06,1.07,1.08,1.08,1.06,1.04,1.02,1,0.96,,,,
cotton1,0.2,0.22,0.25,0.28,0.35,0.4,0.5,0.62,0.8,0.9,0.96,1.01,1.02,1,0.94,0.88,0.8,0.73,0.66,0.58,0.49,,,,
potatoesir,0.33,0.37,0.41,0.45,0.51,0.59,0.72,0.85,0.97,1.08,1.18,1.26,1.31,1.35,1.37,1.37,1.36,1.34,1.31,1.27,1.23,,,,
vgtblsm,0.29,0.33,0.39,0.48,0.56,0.63,0.69,0.74,0.78,0.8,0.82,0.83,0.83,0.82,0.8,0.76,0.72,0.66,0.58,0.5,0.38,,,,
cornsw,0.44,0.47,0.5,0.54,0.58,0.64,0.71,0.82,0.92,1,1.05,1.07,1.08,1.08,1.075,1.07,1.06,1.05,1.03,1.02,1,,,,
beanssnap,0.5,0.52,0.55,0.58,0.61,0.64,0.68,0.73,0.79,0.84,0.89,0.94,0.98,1.02,1.05,1.08,1.1,1.11,1.12,1.12,1.12,,,,
corngrn,0.44,0.46,0.49,0.53,0.58,0.64,0.71,0.82,0.92,1.01,1.05,1.08,1.08,1.08,1.06,1.04,1,0.97,0.93,0.89,0.85,,,,
peasdry,0.5,0.54,0.59,0.65,0.72,0.8,0.89,0.97,1.03,1.08,1.11,1.12,1.12,1.11,1.1,1.08,1.06,1.04,1.01,0.98,0.96,,,,
peasgrn,0.5,0.54,0.59,0.65,0.72,0.8,0.89,0.97,1.03,1.08,1.11,1.12,1.12,1.11,1.1,1.08,1.06,1.04,1.01,0.98,0.96,,,,
cotton2,0.3,0.39,0.51,0.65,0.78,0.91,1.03,1.13,1.23,1.32,1.36,1.36,1.35,1.34,1.32,1.3,1.18,0.91,0.57,0.23,0,,,,
wheatwntrfall,0.28,0.3,0.34,0.39,0.44,0.51,0.58,0.65,0.715,0.78,0.85,0.91,0.97,1.025,1.08,1.13,1.18,1.23,1.275,1.32,1.36,,,,
wheatwntrspr,1.36,1.36,1.36,1.36,1.35,1.35,1.34,1.33,1.32,1.31,1.3,1.26,1.18,1.06,0.91,0.7,0.57,0.4,0.23,0.11,0,,,,
